Date,Type,Link
2025-01-24 18:35:28,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7284782405335334912
2025-01-24 18:34:53,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7285941620892483587
2025-01-24 18:33:47,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7288122693797789696
2025-01-24 18:33:40,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7285036736408109058
2025-01-24 18:33:27,ENTERTAINMENT,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7287060046092378115
2025-01-24 18:33:05,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7287428641515327488
2025-01-24 18:32:58,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7287937140263436290
2025-01-24 18:32:20,APPRECIATION,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7282290706260393984
2025-01-24 18:26:54,APPRECIATION,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7288603947265654784
2025-01-24 18:25:58,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7287149421123784705
2025-01-24 18:25:15,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7288457172743553026
2025-01-23 15:12:54,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7288042789483753474
2025-01-20 13:04:46,APPRECIATION,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7285925092050518016
2025-01-16 17:18:20,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7285690586118975490
2025-01-10 16:00:02,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7283496779231170560
2025-01-07 15:26:34,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7281698741596676096
2025-01-07 15:16:31,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7281595434362408960
2024-12-31 22:17:25,APPRECIATION,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7279942799985168384
2024-12-30 18:17:17,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7275915149738176512
2024-12-30 18:16:41,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7269954190750158848
2024-12-30 18:15:45,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7269790341526896640
2024-12-18 09:35:50,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7275057304142548995
2024-12-17 14:25:24,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7271931990545686530
2024-12-09 13:48:24,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7271796150779756545
2024-12-06 09:28:54,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7270476387436695552
2024-12-05 10:23:20,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7270164061336588288
2024-12-05 10:21:44,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7268760719884537857
2024-12-05 10:19:43,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7267720983090737153
2024-12-05 10:06:45,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7270262367664386050
2024-12-04 19:49:24,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7268201042285080578
2024-12-04 19:46:31,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7269727854907506688
2024-12-04 19:46:01,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7269983807632506880
2024-12-04 19:31:44,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7269993003660767232
2024-12-03 13:48:38,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7269614058528530432
2024-12-03 13:48:27,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7268643656075558912
2024-11-28 20:05:59,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7267883852080066560
2024-11-28 17:25:14,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7267830960522514432
2024-11-28 06:15:05,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7267379612974759938
2024-11-28 06:11:30,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7267482177448120320
2024-11-28 06:04:25,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7263252796051742721
2024-11-28 06:02:17,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7267460897030217728
2024-11-28 05:59:44,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7267525902618484737
2024-11-26 18:08:47,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7265478072366235650
2024-11-26 18:06:41,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7264956404677984256
2024-11-26 15:29:03,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7264987090143064065
2024-11-26 15:27:48,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7266823071410401281
2024-11-26 15:26:04,APPRECIATION,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7264932689202266114
2024-11-26 15:22:30,ENTERTAINMENT,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7267098161523957760?commentUrn=urn%3Ali%3Acomment%3A%28ugcPost%3A7267098161523957760%2C7267098901113966592%29
2024-11-26 15:21:55,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7267098161523957760
2024-11-26 15:21:00,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7266760740185739264
